Utterance_ID	Category	Gender	Accuracy	Completeness	Fluency	Prosodic
000010011	typical	male	8	10.0	9	9
000010063	typical	male	10	10.0	9	9
000010089	typical	male	10	10.0	9	9
000010095	typical	male	10	10.0	9	9
000010122	typical	male	9	10.0	9	9
000050003	typical	male	8	10.0	6	7
000050028	typical	male	8	10.0	8	8
000050049	typical	male	7	10.0	9	8
000050078	typical	male	7	10.0	7	6
000050100	typical	male	8	10.0	8	7
000050174	typical	male	8	10.0	7	6
000540004	typical	male	8	10.0	8	8
000540018	typical	male	8	10.0	9	9
000540054	typical	male	9	10.0	9	8
000540123	typical	male	8	10.0	8	7
000540130	typical	male	8	10.0	9	8
000540156	typical	male	8	10.0	9	8
000560033	typical	male	8	10.0	8	8
000560074	typical	male	9	10.0	7	6
000560084	typical	male	7	10.0	7	7
000560086	typical	male	8	10.0	7	7
000560088	typical	male	8	10.0	8	8
000560116	typical	male	7	10.0	6	6
000560134	typical	male	8	10.0	8	8
000750026	typical	male	7	10.0	8	7
000750029	typical	male	9	10.0	9	8
000750101	typical	male	8	10.0	8	8
000750108	typical	male	8	10.0	8	8
001030008	typical	male	9	10.0	9	9
001030013	typical	male	8	10.0	8	8
001030032	typical	male	8	10.0	8	8
001030060	typical	male	8	10.0	9	8
001030078	typical	male	9	10.0	8	8
001030090	typical	male	9	10.0	9	8
001030121	typical	male	8	10.0	9	8
001030155	typical	male	9	10.0	9	9
001310022	typical	male	8	10.0	8	8
001310062	typical	male	9	10.0	8	9
001310123	typical	male	8	10.0	8	8
001310152	typical	male	8	10.0	8	8
001310154	typical	male	9	10.0	9	8
001310168	typical	male	8	10.0	8	7
004820045	typical	male	9	10.0	10	9
004820214	typical	male	10	10.0	10	9
004820220	typical	male	9	10.0	10	10
004820268	typical	male	8	10.0	9	9
005600154	typical	male	8	10.0	7	6
005600212	typical	male	7	10.0	8	7
005600294	typical	male	7	10.0	8	7
005600365	typical	male	7	10.0	8	7
007390072	typical	male	7	10.0	7	5
007390092	typical	male	7	10.0	7	7
007390119	typical	male	7	10.0	7	6
007390228	typical	male	7	10.0	7	7
009600127	typical	male	8	10.0	7	7
009600215	typical	male	8	10.0	8	8
010120193	typical	male	9	10.0	9	9
010120265	typical	male	8	10.0	9	8
010120303	typical	male	9	10.0	9	9
010270198	typical	male	9	10.0	9	9
010270238	typical	male	10	10.0	9	9
